Cod_Cliente, Nome, NIF, Morada, Email, Password
1,Manuel Oliveira,12345678,Rua abc1 Nº1,Manuel@gmail.com,abcd1234
2,Catarina Costa,13572468,Rua ccc2 Nº12,Catarina@hotmail.com,1234abcd
3,Filipe Teixeira,87654321,Rua bba Nº4,Filipe@live.com.pt,a1b2c3d4
4,Beatriz Ribeiro,86427531,Rua aaa Nº23,Beatriz@gmail.com,abab1212
5,adasd,a,asd,asfa,sdf
6,safsa,asf,asf,fasf,safsaf
7,asdasd,asd,asd,asd,sad
8,asdasd,111111111111,asdsd,asdsd,ddd
9,aadasd,asda,asd,sda,asd
10,aaa,aaa,aaa,aaa,aaa
11,vvv,vvv,vvv,vvv,vvv
12,bbb,bbb,bbb,bbb,bbb
